date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:27	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20May%202024%2019:35:28%20GMT	https://biggercat.my.canva.site/robots.txt		(from )
22:35:28	2732844/2732844	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20May%202024%2019:32:42%20GMT	https://biggercat.my.canva.site/	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/index.html	(from )
22:35:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20May%202024%2019:35:29%20GMT	http://biggercat.my.canva.site/0d04a9c6e3b7b64d44ceb22012d0abf9.png	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/0d04a9c6e3b7b64d44ceb22012d0abf9.0.delayed	(from https://biggercat.my.canva.site/)
22:35:28	877/877	---M--	200	added ('OK')	image/png	date:Mon,%2020%20May%202024%2019:35:29%20GMT	https://biggercat.my.canva.site/0d04a9c6e3b7b64d44ceb22012d0abf9.png	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/0d04a9c6e3b7b64d44ceb22012d0abf9.png	(from https://biggercat.my.canva.site/)
22:35:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20May%202024%2019:35:30%20GMT	http://biggercat.my.canva.site/b306637fdca33cdf331a2f0c2fa836f6.png	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/b306637fdca33cdf331a2f0c2fa836f6.png	(from https://biggercat.my.canva.site/)
22:35:29	2478/2478	---M--	200	added ('OK')	image/png	date:Mon,%2020%20May%202024%2019:32:45%20GMT	https://biggercat.my.canva.site/b306637fdca33cdf331a2f0c2fa836f6.png	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/b306637fdca33cdf331a2f0c2fa836f6.png	(from https://biggercat.my.canva.site/)
22:35:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20May%202024%2019:35:30%20GMT	http://biggercat.my.canva.site/606f79e1fe61a70e94b96409c6801b1d.png	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/606f79e1fe61a70e94b96409c6801b1d.png	(from https://biggercat.my.canva.site/)
22:35:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20May%202024%2019:35:30%20GMT	http://biggercat.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://biggercat.my.canva.site/)
22:35:29	43878/43878	---M--	200	added ('OK')	image/png	date:Mon,%2020%20May%202024%2019:35:30%20GMT	https://biggercat.my.canva.site/606f79e1fe61a70e94b96409c6801b1d.png	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/606f79e1fe61a70e94b96409c6801b1d.png	(from https://biggercat.my.canva.site/)
22:35:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20May%202024%2019:35:31%20GMT	http://biggercat.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://biggercat.my.canva.site/)
22:35:30	194188/194188	---M--	200	added ('OK')	font/woff2	date:Mon,%2020%20May%202024%2019:35:31%20GMT	https://biggercat.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/petro/Desktop/asdas/biggercat.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://biggercat.my.canva.site/)
